"source_repository","source_sha","source_path","current_target","capability","disposition","proposed_destination","phase","dependencies","tests","deletion_gate"
"hornsan1/jang-studio-beta","cfcc8f058065ec25371c45ad035eea2ca2399ab5","README.md;release metadata","release host","public beta redirect","reference","README redirect and historical releases","20","MLX Studio release","redirect/link check","never delete historical releases"
"hornsan1/jangq-private","5d5487c27fa81d9f51da27264ae855964e334070","JANGStudio/JANGStudio/App/JANGStudioApp.swift","JANGStudio","legacy product shell","retire","-","20","SwiftUI","navigation and capability parity","PR20 after installed-app parity"
"hornsan1/jangq-private","5d5487c27fa81d9f51da27264ae855964e334070","JANGStudio/JANGStudio/Models/AppSettings.swift","JANGStudio","legacy wizard/support UI","reference","Documentation/Reference/JANGStudio/AppSettings.swift","13-20","SwiftUI;JANG services","feature matrix","PR20 after capability parity"
"hornsan1/jangq-private","5d5487c27fa81d9f51da27264ae855964e334070","JANGStudio/JANGStudio/Models/ChatMessage.swift","JANGStudio","legacy wizard/support UI","reference","Documentation/Reference/JANGStudio/ChatMessage.swift","13-20","SwiftUI;JANG services","feature matrix","PR20 after capability parity"
"hornsan1/jangq-private","5d5487c27fa81d9f51da27264ae855964e334070","JANGStudio/JANGStudio/Models/ConversionPlan.swift","JANGStudio","legacy wizard/support UI","reference","Documentation/Reference/JANGStudio/ConversionPlan.swift","13-20","SwiftUI;JANG services","feature matrix","PR20 after capability parity"
"hornsan1/jangq-private","5d5487c27fa81d9f51da27264ae855964e334070","JANGStudio/JANGStudio/Models/ProgressEvent.swift","JANGStudio","worker progress protocol","adapt","Sources/MLXStudioDomain/OptimizationWorkerContracts.swift","8","Foundation","Codable event and golden JSONL tests","versioned worker protocol parity"
"hornsan1/jangq-private","5d5487c27fa81d9f51da27264ae855964e334070","JANGStudio/JANGStudio/Runner/BundleResolver.swift","JANGStudio","JANG adoption service","adapt","Sources/MLXStudioOptimization/Adapters/BundleResolver.swift","8-13","Foundation;Python worker","cancellation redaction golden service tests","service parity"
"hornsan1/jangq-private","5d5487c27fa81d9f51da27264ae855964e334070","JANGStudio/JANGStudio/Runner/CLIArgsBuilder.swift","JANGStudio","subprocess/worker","adapt","Sources/MLXStudioOptimization/PythonJANGCommandBuilder.swift","8","MLXStudioDomain;Python worker","deterministic structured command and validation tests","worker coverage for every command"
"hornsan1/jangq-private","5d5487c27fa81d9f51da27264ae855964e334070","JANGStudio/JANGStudio/Runner/CapabilitiesService.swift","JANGStudio","JANG adoption service","adapt","Sources/MLXStudioOptimization/Adapters/CapabilitiesService.swift","8-13","Foundation;Python worker","cancellation redaction golden service tests","service parity"
"hornsan1/jangq-private","5d5487c27fa81d9f51da27264ae855964e334070","JANGStudio/JANGStudio/Runner/DiagnosticsBundle.swift","JANGStudio","JANG adoption service","adapt","Sources/MLXStudioOptimization/Adapters/DiagnosticsBundle.swift","8-13","Foundation;Python worker","cancellation redaction golden service tests","service parity"
"hornsan1/jangq-private","5d5487c27fa81d9f51da27264ae855964e334070","JANGStudio/JANGStudio/Runner/ExamplesService.swift","JANGStudio","JANG adoption service","adapt","Sources/MLXStudioOptimization/Adapters/ExamplesService.swift","8-13","Foundation;Python worker","cancellation redaction golden service tests","service parity"
"hornsan1/jangq-private","5d5487c27fa81d9f51da27264ae855964e334070","JANGStudio/JANGStudio/Runner/InferenceRunner.swift","JANGStudio","duplicate test inference","reference","Documentation/Reference/JANGStudio/InferenceRunner.swift","15","ModelInferenceProvider;MLXStudioEvaluation","vMLX Quick Compare validation smoke","provider evaluation parity and no production Python inference"
"hornsan1/jangq-private","5d5487c27fa81d9f51da27264ae855964e334070","JANGStudio/JANGStudio/Runner/JSONLProgressParser.swift","JANGStudio","worker progress protocol","adapt","Sources/MLXStudioOptimization/JANGJSONLProgressParser.swift","8","MLXStudioDomain;Python worker","golden JSONL and protocol-version tests","versioned worker protocol parity"
"hornsan1/jangq-private","5d5487c27fa81d9f51da27264ae855964e334070","JANGStudio/JANGStudio/Runner/ModelCardService.swift","JANGStudio","JANG adoption service","adapt","Sources/MLXStudioOptimization/Adapters/ModelCardService.swift","8-13","Foundation;Python worker","cancellation redaction golden service tests","service parity"
"hornsan1/jangq-private","5d5487c27fa81d9f51da27264ae855964e334070","JANGStudio/JANGStudio/Runner/ProfilesService.swift","JANGStudio","JANG adoption service","adapt","Sources/MLXStudioOptimization/Adapters/ProfilesService.swift","8-13","Foundation;Python worker","cancellation redaction golden service tests","service parity"
"hornsan1/jangq-private","5d5487c27fa81d9f51da27264ae855964e334070","JANGStudio/JANGStudio/Runner/PublishService.swift","JANGStudio","publishing worker adapter","adapt","Sources/MLXStudioOptimization/Adapters/PublishService.swift","13","PythonJANGWorker;artifact manifest","dry-run token cancel manifest tests","publishing job parity"
"hornsan1/jangq-private","5d5487c27fa81d9f51da27264ae855964e334070","JANGStudio/JANGStudio/Runner/PythonCLIInvoker.swift","JANGStudio","subprocess/worker","adapt","Sources/MLXStudioOptimization/PythonJANGWorker.swift","8","MLXStudioDomain;MLXStudioPersistence","version diagnostics redaction and pipe-drain tests","worker coverage for every command"
"hornsan1/jangq-private","5d5487c27fa81d9f51da27264ae855964e334070","JANGStudio/JANGStudio/Runner/PythonRunner.swift","JANGStudio","subprocess/worker","adapt","Sources/MLXStudioOptimization/PythonJANGWorker.swift","8","MLXStudioDomain;MLXStudioPersistence","durable job cancellation escalation partial-output tests","worker coverage for every command"
"hornsan1/jangq-private","5d5487c27fa81d9f51da27264ae855964e334070","JANGStudio/JANGStudio/Runner/RecommendationService.swift","JANGStudio","JANG adoption service","adapt","Sources/MLXStudioOptimization/Adapters/RecommendationService.swift","8-13","Foundation;Python worker","cancellation redaction golden service tests","service parity"
"hornsan1/jangq-private","5d5487c27fa81d9f51da27264ae855964e334070","JANGStudio/JANGStudio/Verify/PostConvertVerifier.swift","JANGStudio","verification","adapt","Sources/MLXStudioOptimization/Verification/PostConvertVerifier.swift","8","JANG tools;vMLX provider","good/broken fixture and real-artifact verification","shared VerificationReport parity"
"hornsan1/jangq-private","5d5487c27fa81d9f51da27264ae855964e334070","JANGStudio/JANGStudio/Verify/PreflightCheck.swift","JANGStudio","verification","adapt","Sources/MLXStudioOptimization/Verification/PreflightCheck.swift","8","JANG tools;vMLX provider","good/broken fixture and real-artifact verification","shared VerificationReport parity"
"hornsan1/jangq-private","5d5487c27fa81d9f51da27264ae855964e334070","JANGStudio/JANGStudio/Verify/PreflightRunner.swift","JANGStudio","verification","adapt","Sources/MLXStudioOptimization/Verification/PreflightRunner.swift","8","JANG tools;vMLX provider","good/broken fixture and real-artifact verification","shared VerificationReport parity"
"hornsan1/jangq-private","5d5487c27fa81d9f51da27264ae855964e334070","JANGStudio/JANGStudio/Verify/VerifyCheck.swift","JANGStudio","verification","adapt","Sources/MLXStudioOptimization/Verification/VerifyCheck.swift","8","JANG tools;vMLX provider","good/broken fixture and real-artifact verification","shared VerificationReport parity"
"hornsan1/jangq-private","5d5487c27fa81d9f51da27264ae855964e334070","JANGStudio/JANGStudio/Wizard/ExpertLabSheet.swift","JANGStudio","Expert Lab/pruning UI orchestration","adapt","Sources/vMLXApp/Optimize/ExpertLabSheet.swift","7-14","JANGExpertLab;worker","reviewed prune and installed-app Optimize tests","PR19 after service/UI parity"
"hornsan1/jangq-private","5d5487c27fa81d9f51da27264ae855964e334070","JANGStudio/JANGStudio/Wizard/GenerateModelCardSheet.swift","JANGStudio","publishing UI","adapt","Sources/vMLXApp/Models/GenerateModelCardSheet.swift","8-13","worker;jobs","dry-run token cancel manifest tests","publishing job parity"
"hornsan1/jangq-private","5d5487c27fa81d9f51da27264ae855964e334070","JANGStudio/JANGStudio/Wizard/InfoHint.swift","JANGStudio","legacy wizard/support UI","reference","Documentation/Reference/JANGStudio/InfoHint.swift","13-20","SwiftUI;JANG services","feature matrix","PR20 after capability parity"
"hornsan1/jangq-private","5d5487c27fa81d9f51da27264ae855964e334070","JANGStudio/JANGStudio/Wizard/PrequantPruneSheet.swift","JANGStudio","Expert Lab/pruning UI orchestration","adapt","Sources/vMLXApp/Optimize/PrequantPruneSheet.swift","7-14","JANGExpertLab;worker","reviewed prune and installed-app Optimize tests","PR19 after service/UI parity"
"hornsan1/jangq-private","5d5487c27fa81d9f51da27264ae855964e334070","JANGStudio/JANGStudio/Wizard/PublishToHuggingFaceSheet.swift","JANGStudio","publishing UI","adapt","Sources/vMLXApp/Models/PublishToHuggingFaceSheet.swift","8-13","worker;jobs","dry-run token cancel manifest tests","publishing job parity"
"hornsan1/jangq-private","5d5487c27fa81d9f51da27264ae855964e334070","JANGStudio/JANGStudio/Wizard/QuantizationGuide.swift","JANGStudio","legacy wizard/support UI","reference","Documentation/Reference/JANGStudio/QuantizationGuide.swift","13-20","SwiftUI;JANG services","feature matrix","PR20 after capability parity"
"hornsan1/jangq-private","5d5487c27fa81d9f51da27264ae855964e334070","JANGStudio/JANGStudio/Wizard/SettingsWindow.swift","JANGStudio","legacy wizard/support UI","reference","Documentation/Reference/JANGStudio/SettingsWindow.swift","13-20","SwiftUI;JANG services","feature matrix","PR20 after capability parity"
"hornsan1/jangq-private","5d5487c27fa81d9f51da27264ae855964e334070","JANGStudio/JANGStudio/Wizard/Steps/ArchitectureStep.swift","JANGStudio","legacy wizard/support UI","reference","Documentation/Reference/JANGStudio/ArchitectureStep.swift","13-20","SwiftUI;JANG services","feature matrix","PR20 after capability parity"
"hornsan1/jangq-private","5d5487c27fa81d9f51da27264ae855964e334070","JANGStudio/JANGStudio/Wizard/Steps/ProfileStep.swift","JANGStudio","legacy wizard/support UI","reference","Documentation/Reference/JANGStudio/ProfileStep.swift","13-20","SwiftUI;JANG services","feature matrix","PR20 after capability parity"
"hornsan1/jangq-private","5d5487c27fa81d9f51da27264ae855964e334070","JANGStudio/JANGStudio/Wizard/Steps/RunStep.swift","JANGStudio","legacy wizard/support UI","reference","Documentation/Reference/JANGStudio/RunStep.swift","13-20","SwiftUI;JANG services","feature matrix","PR20 after capability parity"
"hornsan1/jangq-private","5d5487c27fa81d9f51da27264ae855964e334070","JANGStudio/JANGStudio/Wizard/Steps/SourceStep.swift","JANGStudio","legacy wizard/support UI","reference","Documentation/Reference/JANGStudio/SourceStep.swift","13-20","SwiftUI;JANG services","feature matrix","PR20 after capability parity"
"hornsan1/jangq-private","5d5487c27fa81d9f51da27264ae855964e334070","JANGStudio/JANGStudio/Wizard/Steps/VerifyStep.swift","JANGStudio","legacy wizard/support UI","reference","Documentation/Reference/JANGStudio/VerifyStep.swift","13-20","SwiftUI;JANG services","feature matrix","PR20 after capability parity"
"hornsan1/jangq-private","5d5487c27fa81d9f51da27264ae855964e334070","JANGStudio/JANGStudio/Wizard/TestInferenceSheet.swift","JANGStudio","duplicate test inference UI","retire","-","15","InferenceRunner","vMLX Quick Compare validation smoke","vMLX provider evaluation parity"
